"ballet_master","country_of_citizenship","employer","birth_year","gender","education","teacher","student","combined_student_teacher","award","num_awards","num_countries","num_influences","num_employer","num_education"
"Çimnaz Babayeva","Azerbaijan; Russia","Azerbaijan State Academic Opera and Ballet Theater",1946,"female","Azerbaijan State Academic Opera and Ballet Theater; Baku Choreography Academy","","","","Honored Artist of the Azerbaijan SSR; People's Artiste of the Azerbaijan SSR; State Prize of the Azerbaijan SSR",3,2,0,1,2
"Éric Vu-An","France","",1964,"male","Paris Opera","","","","Officer of the Legion of Honour; Knight of the Legion of Honour; Officer of the National Order of Merit; Chevalier des Arts et des Lettres; Commandeur des Arts et des Lettres",5,1,0,0,1
"Éva Gaál","Hungary","",1930,"female","","Ferenc Nádasi","","Ferenc Nádasi","Franz Liszt Prize; Meritorius Artist of Hungary",2,1,1,0,0
"Ágoston Balogh","Hungary","",1929,"male","","","","","",0,1,0,0,0
"Aage Thordal-Christensen","Denmark","Royal Danish Ballet; Los Angeles Ballet",1965,"male","","","","","",0,1,0,2,0
"Achille Viscusi","Italy","",1869,"male","","","","","",0,1,0,0,0
"Adél Orosz","Hungary","",1938,"female","","","","","Great Artist of Hungary Award; Kossuth Prize; Franz Liszt Prize; SZOT prize; Meritorius Artist of Hungary; Master Artist of the Hungarian State Opera House",6,1,0,0,0
"Adam Glushkovsky","Russia","",1793,"male","Vaganova Academy of Russian Ballet","","","","",0,1,0,0,1
"Adam P. Gluškovskij","","",1793,"male","","","","","",0,0,0,0,0
"Adolf Gassert","","",1823,"male","","","","","",0,0,0,0,0
"Adolph Bolm","United States of America; Russia","",1884,"male","Vaganova Academy of Russian Ballet","","","","",0,2,0,0,1
"Agnes de Mille","United States of America","",1905,"female","University of California, Los Angeles; California State University, Long Beach","","","","Tony Award for Best Choreography; Kennedy Center Honors; National Medal of Arts; Drama Desk Special Award; Capezio Dance Award; Elizabeth Blackwell Award",6,1,0,0,2
"Agrippina Vaganova","Russia","",1879,"female","Vaganova Academy of Russian Ballet","Nina Fedorovna Mlodzinskaya","Galina Ulanova; Marina Semyonova; Varvara P. Mey; Gelu Barbu; Q105960387","Nina Fedorovna Mlodzinskaya; Galina Ulanova; Marina Semyonova; Varvara P. Mey; Gelu Barbu; Q105960387","Stalin Prize; People's Artist of the RSFSR; Order of the Red Banner of Labour; Medal ""For Valiant Labour in the Great Patriotic War 1941–1945""",4,1,6,0,1
"Aiko Ōtaki","Japan","",1928,"female","","Eliana Pavlova; Masahide Komaki; Nadezhda Pavlova","","Eliana Pavlova; Masahide Komaki; Nadezhda Pavlova","",0,1,3,0,0
"Akiko Tachibana","Japan","",1907,"female","Utsunomiya University","Eliana Pavlova","Yoko Morishita; Noriko Ōhara; Katsuko Okamoto; Asami Maki; Yuriko Kawaguchi","Eliana Pavlova; Yoko Morishita; Noriko Ōhara; Katsuko Okamoto; Asami Maki; Yuriko Kawaguchi","Medal with Purple Ribbon",1,1,6,0,1
"Akim Cemilev","Ukraine; Russia","Crimean Tatar academic music and drama theater",1918,"male","","",""," ","Order of the Red Star; Medal ""For Battle Merit""; Medal ""For Courage""; Honored Art Worker of Ukraine; Order of the Patriotic War 2nd class",5,2,1,1,0
"Alain Bernard","Switzerland","",1932,"male","","","","","",0,1,0,0,0
"Albert","France","Paris Opera",1787,"male","","","","","",0,1,0,1,0
"Albert Aveline","France","",1883,"male","","","","","",0,1,0,0,0
"Alberto Alonso","Cuba","",1917,"male","","","","","",0,1,0,0,0
"Alejandro Parente","Argentina","Teatro Colón",1972,"male","Instituto Superior de Arte del Teatro Colón (Buenos Aires, Argentina)","","","","",0,1,0,1,1
"Aleksander Prokofiev","Russia","Moscow State Academy of Choreography",1942,"male","Russian Institute of Theatre Arts","","","","",0,1,0,1,1
"Aleksandr Aleksandrov","Russia","Bolshoi Theatre",1891,"male","Faculty of Law, Saint Petersburg State University","","","","",0,1,0,1,1
"Aleksandr Aleksandrovich Lapauri","Russia","Russian Institute of Theatre Arts",1926,"male","higher education; Russian Institute of Theatre Arts","Rostislav Zakharov","","Rostislav Zakharov","Merited Artist of the RSFSR; Order of the Badge of Honour; Medal ""For Distinguished Labour""",3,1,1,1,2
"Aleksandr Gil","Russia","",1943,"male","","","","","Merited Artist of the RSFSR",1,1,0,0,0
"Aleksandr Ivanovich Chekrygin","Russia","",1884,"male","Vaganova Academy of Russian Ballet","","","","Merited Artist of the RSFSR; Order of the Red Banner of Labour; Honored art worker of the Russian Soviet Federative Socialist Republic",3,1,0,0,1
"Aleksandr Radunsky","Russia","Bolshoi Theatre",1912,"male","","","","","Order of the Red Banner of Labour; Order of the Badge of Honour; Honored art worker of the Russian Soviet Federative Socialist Republic",3,1,0,1,0
"Aleksandr Rumnev","Russia","",1899,"male","","","","","",0,1,0,0,0
"Aleksandr Shiryaev","Russia","",1867,"male","Vaganova Academy of Russian Ballet","","","","Merited Artist of the RSFSR; Order of the Red Banner of Labour",2,1,0,0,1
"Aleksandra Fokina","United States of America; Russia","",1884,"female","","","","","",0,2,0,0,0
"Aleksandrs Lembergs","Latvia; Russia","",1921,"male","","","","","People's Artist of the USSR",1,2,0,0,0
"Aleksey Andreyev","Russia","Chuvash State Opera and Ballet Theater; Mariinsky Theatre; Bolshoi Theatre of Belarus",1920,"male","Vaganova Academy of Russian Ballet","","","","Merited Artist of the RSFSR; Honored Artist of the Byelorussian SSR",2,1,0,3,1
"Aleksey Yermolayev","Russia","Bolshoi Theatre of Belarus",1910,"male","Vaganova Academy of Russian Ballet","","Q111653564","Q111653564","Merited Artist of the RSFSR; People's Artist of the RSFSR; People's Artist of the USSR; Order of the Red Banner of Labour; Order of the Badge of Honour; Medal ""For Valiant Labour in the Great Patriotic War 1941–1945""; Stalin Prize; People's Artist of Byelorussian SSR",8,1,1,1,1
"Aleksi Chichinadze","Russia","",1917,"male","Russian Institute of Theatre Arts","","","","People's Artist of the RSFSR",1,1,0,0,1
"Alexander Alexeyevich Gorsky","Russia","",1871,"male","","","","","Q4187925",1,1,0,0,0
"Alexander Gontard","","",1706,"male","","","","","",0,0,0,0,0
"Alexander Ivanovich Pushkin","Russia","Mariinsky Theatre; Vaganova Academy of Russian Ballet",1907,"male","Vaganova Academy of Russian Ballet","","Rudolf Nureyev; Mikhail Baryshnikov; Xələf Safullin; Fauzi Sattarov","Rudolf Nureyev; Mikhail Baryshnikov; Xələf Safullin; Fauzi Sattarov","Honored art worker of the Russian Soviet Federative Socialist Republic",1,1,4,2,1
"Alexander Plisetski","Russia","",1931,"male","Moscow State Academy of Choreography","","","","",0,1,0,0,1
"Alexander Saxelin","Finland","",1899,"male","Vaganova Academy of Russian Ballet","","","","Pro Finlandia Medal of the Order of the Lion of Finland",1,1,0,0,1
"Alexander Vetrov","Russia","",1961,"male","","","","","People's Artist of the Russian Federation; Merited Artist of the RSFSR",2,1,0,0,0
"Alexandra Denisova","Canada; United States of America","Original Ballet Russe",1922,"female","","June Roper","","June Roper","",0,2,1,1,0
"Alexei Ratmansky","United States of America; Russia; Ukraine","National Opera of Ukraine",1968,"male","Russian Institute of Theatre Arts; Moscow State Academy of Choreography","","","","MacArthur Fellows Program; Merited Artist of Ukraine; National Dance Awards",3,3,0,1,2
"Alexis Blache","France","Bolshoi Kamenny Theatre",1791,"male","","","","","",0,1,0,1,0
"Alfons Heinrich Klahs","","",1832,"male","","","","","",0,0,0,0,0
"Alice Kaluza","Germany","",1920,"female","","","","","Cross of the Order of Merit of the Federal Republic of Germany",1,1,0,0,0
"Alicia Alonso","Cuba","",1920,"female","School of American Ballet","","","","Order of Merit of Duarte, Sanchez and Mella; Order of the Aztec Eagle; prima ballerina assoluta; Ordre des Arts et des Lettres; Order of Isabella the Catholic; Order of José Martí; Order of Vasco Núñez de Balboa; National Order of Merit Carlos Manuel de Cespedes; Officer of the Legion of Honour; Commandeur des Arts et des Lettres; Commander of the Order of Isabella the Catholic; honorary doctorate of the Polytechnic University of Valencia",12,1,0,0,1
"Alirza Sachar Zarif","","",NA,"male","","","","","",0,0,0,0,0
"Alla Dzgoeva","Russia","",1939,"female","","","","","Merited Artist of the RSFSR; Medal ""Veteran of Labour""; Jubilee Medal ""In Commemoration of the 100th Anniversary of the Birth of Vladimir Ilyich Lenin""",3,1,0,0,0
"Alla Michaylovna Sigalova","Russia","",1959,"female","Vaganova Academy of Russian Ballet; Russian Institute of Theatre Arts","","","","Merited Artist of the Russian Federation; Order of Friendship; Golden Mask; Honored art worker of the Russian Federation; Russian Federation's Government Award",5,1,0,0,2
"Alla Shelest","Russia","Vaganova Academy of Russian Ballet",1919,"female","Vaganova Academy of Russian Ballet","","","","People's Artist of the RSFSR; Medal ""For Valiant Labour in the Great Patriotic War 1941–1945""; Stalin Prize",3,1,0,1,1
"Amina Dilbazi","Azerbaijan; Russia","",1919,"female","","","","","Istiglal Order; Honored Artist of the Azerbaijan SSR; People's Artiste of the Azerbaijan SSR; Order of Friendship of Peoples; Order of the Badge of Honour",5,2,0,0,0
"Anatoli Berdychev","Russia","Novosibirsk Opera and Ballet Theatre",1947,"male","","","","","Merited Artist of the RSFSR; People's Artist of the RSFSR; Lenin Komsomol Prize",3,1,0,1,0
"Anatoly Fedorovich Shekera","Ukraine; Russia","National Opera of Ukraine",1935,"male","","Rostislav Zakharov","","Rostislav Zakharov","People's Artist of Ukraine; People's Artist of the Ukrainian SSR",2,2,1,1,0
"Anders Selinder","Sweden","",1806,"male","","","","","",0,1,0,0,0
"Andreas Pavley","","",1886,"male","","Enrico Cecchetti; Ivan Clustine","","Enrico Cecchetti; Ivan Clustine","",0,0,2,0,0
"Andrei Kuznetsov-Vecheslov","Russia","",1951,"male","Vaganova Academy of Russian Ballet","","","","",0,1,0,0,1
"Andrey Klemm","","",1967,"male","","","","","",0,0,0,0,0
"Andrey Petrov","Russia","",1945,"male","Russian Institute of Theatre Arts","","","","People's Artist of the RSFSR; Order of Friendship; Zhukov Medal; Order of Honour; Medal ""For Distinguished Labour""; Order ""For Merit to the Fatherland"", 4th class; Order of Holy Prince Daniel of Moscow 3rd class",7,1,0,0,1
"Andrey Rumyantsev","","Latvian National Opera and Ballet",1962,"male","","","","","",0,0,0,1,0
