Name,QID,num_links
Çimnaz Babayeva,Q12848543,2
Éric Vu-An,Q3591402,7
Éva Gaál,Q109781409,3
Ágoston Balogh,N/A,N/A
Aage Thordal-Christensen,Q18349665,1
Achille Viscusi,Q28661319,4
Adél Orosz,Q1225751,3
Adam Glushkovsky,Q4140428,2
Adam P. Gluškovskij,N/A,N/A
Adolf Gassert,N/A,N/A
Adolph Bolm,Q2824739,3
Agnes de Mille,Q394670,19
Agrippina Vaganova,Q236413,16
Aiko Ōtaki,Q11437576,3
Akiko Tachibana,Q11544343,8
Akim Cemilev,N/A,N/A
Alain Bernard,Q297477,10
Albert,Q5580,50
Albert Aveline,Q28779700,1
Alberto Alonso,Q4062830,12
Alejandro Parente,Q7783856,2
Aleksander Prokofiev,N/A,N/A
Aleksandr Aleksandrov,Q934314,43
Aleksandr Aleksandrovich Lapauri,Q4254150,6
Aleksandr Gil,N/A,N/A
Aleksandr Ivanovich Chekrygin,N/A,N/A
Aleksandr Radunsky,Q4387977,5
Aleksandr Rumnev,Q18009119,3
Aleksandr Shiryaev,Q4524496,3
Aleksandra Fokina,N/A,N/A
Aleksandrs Lembergs,Q15071123,3
Aleksey Andreyev,Q19907011,2
Aleksey Yermolayev,Q4176577,7
Aleksi Chichinadze,Q4516789,4
Alexander Alexeyevich Gorsky,Q980208,5
Alexander Gontard,Q94828880,1
Alexander Ivanovich Pushkin,Q4384709,7
Alexander Plisetski,Q4365092,6
Alexander Saxelin,Q4405502,2
Alexander Vetrov,Q111810474,19
Alexandra Denisova,Q4720621,2
Alexei Ratmansky,Q2834382,5
Alexis Blache,Q2834462,1
Alfons Heinrich Klahs,Q98923946,4
Alice Kaluza,N/A,N/A
Alicia Alonso,Q236013,14
Alirza Sachar Zarif,N/A,N/A
Alla Dzgoeva,N/A,N/A
Alla Michaylovna Sigalova,Q4418563,10
Alla Shelest,Q4522611,5
Amina Dilbazi,Q4161626,2
Anatoli Berdychev,N/A,N/A
Anatoly Fedorovich Shekera,Q12171582,4
Anders Selinder,Q2846126,3
Andreas Pavley,Q94659760,1
Andrei Kuznetsov-Vecheslov,Q4245088,3
Andrey Klemm,N/A,N/A
Andrey Petrov,Q502390,50
Andrey Rumyantsev,Q19916218,3
Andris Liepa,Q4261369,5
Aneta Voleská,N/A,N/A
Angelin Preljocaj,Q477891,13
Anne Teresa De Keersmaeker,Q565834,50
Antal Fodor,Q1002266,1
Anthony Taylor,Q4453759,45
Antoine Bandieri de Laval,Q2853640,2
Antoine Titus,Q2856765,1
Antoni Biosca,Q29523263,1
Antonio Como,Q63802172,1
Antonio Gades,Q561048,26
Antonio Truyol,N/A,N/A
Antony Tudor,Q608183,8
Arkady Obrant,Q1901975,1
Arman Julhakyan,Q86705321,1
Armin Wild,Q95236254,1
Artem Shoshyn,Q104165497,1
Arthur Saint-Léon,Q711323,12
Arthur Sprankel,N/A,N/A
